"filename", "language", "XML", "Dart", "JSON", "YAML", "Markdown", "Gradle", "Properties", "Swift", "C++", "comment", "blank", "total"
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/edit.svg", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/exit.svg", "XML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/eye_closed.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/list_task_1.svg", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/list_task_2.svg", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/list_task_3.svg", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/mail.svg", "XML", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/menu.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/more_horiz.svg", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/profile.svg", "XML", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/rules.svg", "XML", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/search.svg", "XML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/settings.svg", "XML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/stat.svg", "XML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/support.svg", "XML", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/trash.svg", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/macbook/Documents/GitHub/godofdiscipline/godofdiscipline.iml", "XML", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
