"filename", "language", "XML", "JSON", "YAML", "Dart", "C++", "comment", "blank", "total"
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/create_activity_screen/widgets/time_picker.dart", "Dart", 0, 0, 0, 224, 0, 0, 14, 238
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/login_screen/view/login.dart", "Dart", 0, 0, 0, 182, 0, 0, 13, 195
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/view/screen.dart", "Dart", 0, 0, 0, 70, 0, -12, 5, 63
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/day_header.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 3
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/empty_task_tile.dart", "Dart", 0, 0, 0, 41, 0, 0, 3, 44
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/filter_button.dart", "Dart", 0, 0, 0, 73, 0, 0, 3, 76
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/level_info.dart", "Dart", 0, 0, 0, 13, 0, 0, 1, 14
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/main_drawer.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 11
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/menu_action.dart", "Dart", 0, 0, 0, 37, 0, 0, 3, 40
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/menu_tile.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 3
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/task_body.dart", "Dart", 0, 0, 0, 131, 0, 0, 3, 134
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/task_header.dart", "Dart", 0, 0, 0, 96, 0, 0, 3, 99
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/task_tile.dart", "Dart", 0, 0, 0, 81, 0, 0, 4, 85
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/reg_screen/view/screen.dart", "Dart", 0, 0, 0, 91, 0, 0, 10, 101
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/reg_screen/widgets/form_field.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 22
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/reg_screen/widgets/reg_body.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 21
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/reg_screen/widgets/t_elevated_button.dart", "Dart", 0, 0, 0, 31, 0, 0, 3, 34
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/reg_screen/widgets/t_outline_button.dart", "Dart", 0, 0, 0, 30, 0, 0, 3, 33
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/rules_screen/view/screen.dart", "Dart", 0, 0, 0, 48, 0, 0, 3, 51
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/rules_screen/widgets/rules_card.dart", "Dart", 0, 0, 0, 70, 0, 0, 3, 73
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/rules_screen/widgets/text_rules_card.dart", "Dart", 0, 0, 0, 36, 0, 0, 3, 39
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/stat_screen/view/screen.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 5
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/stat_screen/widgets/all_info_card.dart", "Dart", 0, 0, 0, 73, 0, 0, 3, 76
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/stat_screen/widgets/all_infotile.dart", "Dart", 0, 0, 0, 34, 0, 0, 3, 37
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/stat_screen/widgets/info_card.dart", "Dart", 0, 0, 0, 83, 0, 0, 2, 85
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/stat_screen/widgets/level_info.dart", "Dart", 0, 0, 0, 90, 0, 0, 2, 92
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/support_screen/view/screen.dart", "Dart", 0, 0, 0, 119, 0, 0, 5, 124
