"filename", "language", "XML", "Dart", "JSON", "YAML", "Markdown", "Gradle", "C++", "Swift", "Properties", "comment", "blank", "total"
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/Flutter.h", "C++", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 4, 25
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterAppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 11, 0, 0, 16, 8, 35
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterBinaryMessenger.h", "C++", 0, 0, 0, 0, 0, 0, 29, 0, 0, 63, 14, 106
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterCallbackCache.h", "C++", 0, 0, 0, 0, 0, 0, 15, 0, 0, 32, 8, 55
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterChannels.h", "C++", 0, 0, 0, 0, 0, 0, 86, 0, 0, 366, 38, 490
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterCodecs.h", "C++", 0, 0, 0, 0, 0, 0, 113, 0, 0, 322, 42, 477
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterDartProject.h", "C++", 0, 0, 0, 0, 0, 0, 23, 0, 0, 65, 16, 104
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterEngine.h", "C++", 0, 0, 0, 0, 0, 0, 59, 0, 0, 362, 40, 461
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterEngineGroup.h", "C++", 0, 0, 0, 0, 0, 0, 23, 0, 0, 73, 15, 111
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterHeadlessDartRunner.h", "C++", 0, 0, 0, 0, 0, 0, 22, 0, 0, 64, 12, 98
